UserID,Username,Password ,PhoneNumber
100001,na68,v%1kYbdPtH,18849342297
100002,vdeng,!O#SiF@#W9,15962358033
100003,gangsu,$KL6sca3@8,13352844988
100004,gqin,nlIHHD*S&7,13093073073
100005,daitao,@3UXeuaX#J,14507779866
100006,luwei,!N1KlKd73M,13790295626
100007,owen,^o7ZDsNQQT,18757571038
100008,juan84,!7FNn_WWvX,15258298997
100009,xiuying60,7oLYYtSd(C,13107680001
100010,junli,T8Q*6QIzcl,13257292034
110001,ihan,(ci&CRu8)8,15606036087
110002,ucui,(RfLD@Cv5R,13715318918
110003,jingang,)XG3ITEd^U,18767698705
110004,wei10,)EJ8eXzyXT,18115516363
110005,jie62,*TWRsZyif7,18654503717
110006,mingqin,W)8Gh+XzI+,18187252716
110007,zouwei,$vI93IsnMk,18787538784
110008,dinggang,%5U7b!+b%*,13198071217
110009,udu,BsMD*q7g_5,13859389957
110010,guiying33,R8ONPQ9p^y,13181341414
120001,yongcheng,1NyLhiBv&y,14520902406
120002,xiakang,_f3JxwwmW2,18870163594
120003,yangjie,+eQa7VJ$c3,18604465868
120004,li00,@_Sdc7%lR6,18116382752
120005,tao95,&wu^IOChY5,13772676188
120006,mojuan,FFe4K8Yzn!,13201768636
120007,zfu,sdtTjlfC+8,13529983933
120008,wfeng,Q7z)V2Vwu$,15020533643
120009,ming40,!D3O@dmZQ7,13604579168
120010,yonghu,gI6NR1Lv!9,13991076295
130001,kangjie,n2I#E+us)z,18778731479
130002,yshao,*mr6FPch(C,13247446316
130003,fujing,$K2Gj1Sd#9,18098734252
130004,leidu,HT!BOE!f+6,13002510459
130005,iding,4v^GmdnL&0,13247875003
130006,guiying70,(DZ8*qSbB6,18988521477
140001,na36,l%4vTOs#Sz,13551074391
140002,pingxiao,i@^*6YjHY+,15753632836
140003,leiwei,#7Rp5RZnuR,14568285740
140004,qianghe,!90MNcIVwV,15865357686
140005,yangfu,0pTtEv2k#C,13780555752
